track_id,track_name,artists,track_genre,tempo,danceability,energy,valence,acousticness,instrumentalness
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,pop,171.005,0.514,0.73,0.334,0.00146,9.54e-05
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd;Daft Punk,pop,186.003,0.679,0.587,0.486,0.141,6.35e-06
2l3dFxtoSMgMQVyRIUHjpz,Akhiyaan,Mitraz,pop,100.021,0.724,0.618,0.0683,0.0533,0.704
32LKwbmh6yVsWoRRF8DIvf,Na Ja,Pav Dharia,pop,90.072,0.772,0.649,0.824,0.0724,0.0
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,pop,185.727,0.41,0.611,0.0899,0.0228,0.0
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,pop,120.001,0.672,0.52,0.37,0.859,0.0
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,pop,116.959,0.609,0.692,0.454,0.0157,0.0
4PwTeFfKqmR3XIeXXUBDOf,"Maiyya Mainu (From ""Jersey"")",Sachet-Parampara;Sachet Tandon,pop,109.985,0.63,0.739,0.224,0.194,0.0
1iZLpuGMr4tn1F5bZu32Kb,Bijlee Bijlee,Harrdy Sandhu,pop,100.004,0.795,0.67,0.643,0.269,0.0
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,pop,95.05,0.599,0.448,0.168,0.163,0.0
3ZGJhN4unVspOqpwGvUL2W,Lemonade,Diljit Dosanjh,pop,143.998,0.789,0.744,0.783,0.281,0.0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,pop,95.977,0.825,0.652,0.931,0.581,0.0
58ynJq9eLLDChA3GNFJcDL,Channa Ve,Akhil Sachdeva;Mansheel Gujral,pop,94.945,0.676,0.696,0.606,0.666,0.0
7oN0Wo7sCVvXPdpxoio3JM,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,pop,76.739,0.464,0.491,0.106,0.837,1.39e-06
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi;Jubin Nautiyal;Asees Kaur,pop,81.009,0.72,0.63,0.512,0.615,0.0
2tMoOS9grHtn4upzb4LwMG,"Adiye - From ""Bachelor""",Dhibu Ninan Thomas;Kapil Kapilan,pop,90.038,0.709,0.454,0.548,0.445,0.0
3BVjPpVvki8Jpm1Ew21UjH,"Inthandham (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;S.P. Charan,pop,99.894,0.652,0.37,0.662,0.661,0.0
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,pop,101.358,0.539,0.508,0.227,0.727,0.0
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,pop,173.93,0.52,0.731,0.662,0.342,0.00101
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish;Khalid,pop,115.284,0.351,0.296,0.12,0.934,0.0
1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,pop,121.963,0.671,0.673,0.494,0.148,5.29e-05
6fhG2KJgwO7CrNflRaRmvp,Dandelions - slowed + reverb,Ruth B.;slater,pop,101.699,0.573,0.715,0.258,0.0444,0.0
6DefzsWqnwrFrmNVnJxWkS,Jo Tu Na Mila,Asim Azhar,pop,159.68,0.508,0.507,0.218,0.0636,1.15e-05
1L3Nsi7YXtBxTdnbqektia,Hawa Banke,Darshan Raval,pop,90.078,0.625,0.598,0.5,0.616,0.0
0ZHILXmUaVSLEOCWxPQ1ga,Makhna,Tanishk Bagchi;Yasser Desai;Asees Kaur,pop,124.972,0.696,0.704,0.426,0.167,0.0
4g7118rCobKcU4XQXSFlBS,The Hills,The Weeknd,pop,112.98,0.565,0.551,0.125,0.0845,0.0
0NvGVd87SYZnryTcfQPKUO,Kali Kali Zulfon Ke,Madhur Sharma,pop,154.03,0.612,0.495,0.433,0.726,0.0
5nsET7aVWXu017lsQjRFCV,Thoda Thoda Pyaar,Stebin Ben;Nilesh Ahuja;Kumaar,pop,103.008,0.706,0.527,0.144,0.139,0.000169
3fwyItGexa88kR8j76dIqv,Aziyat 2.0 - Reprise Version,Pratsofficial,pop,104.743,0.445,0.28,0.299,0.819,1.29e-05
3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,Akhil Sachdeva;Tulsi Kumar,pop,93.95,0.605,0.53,0.397,0.821,0.0
6vJaXvEXh6HOeiEZLFDhrp,You Belong With Me (Taylor’s Version),Taylor Swift,pop,130.033,0.632,0.773,0.474,0.0623,0.0
